Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
165.99911293,2020-11-20T23:59:59.999Z,168.07909168,161.28624527,3083608094.6750283,Bitcoin SV,161.59153814,BSV,474041829.0178211
193.67356605,2020-11-21T23:59:59.999Z,196.36590212,165.9991094,3597870523.6354184,Bitcoin SV,165.9991094,BSV,1241312266.3090525
177.86705949,2020-11-22T23:59:59.999Z,196.04105216,173.66746812,3304390067.032545,Bitcoin SV,193.67357172,BSV,1097906400.974366
196.9010939,2020-11-23T23:59:59.999Z,197.27380151,175.17438893,3658183905.8525,Bitcoin SV,177.8671181,BSV,1272012000.1386592
208.91473575,2020-11-24T23:59:59.999Z,216.6496924,194.5168534,3881563013.7081647,Bitcoin SV,196.8697904,BSV,1977255200.4952464
191.83942702,2020-11-25T23:59:59.999Z,211.85204476,188.10517238,3564471590.2982264,Bitcoin SV,208.90649321,BSV,1423905155.6727908
165.46849521,2020-11-26T23:59:59.999Z,194.34830932,151.75618653,3074633466.3953576,Bitcoin SV,191.80241648,BSV,1483258713.2105927
161.8022044,2020-11-27T23:59:59.999Z,169.10864667,156.60558689,3006656357.6514215,Bitcoin SV,165.53330898,BSV,753053483.7081007
166.73038782,2020-11-28T23:59:59.999Z,171.47393107,159.71021225,3098384417.1384044,Bitcoin SV,161.81907413,BSV,537586592.4790567
168.19786367,2020-11-29T23:59:59.999Z,170.18445169,163.8404246,3125816707.2417707,Bitcoin SV,166.74784568,BSV,475164139.9081613
182.55816007,2020-11-30T23:59:59.999Z,184.17537876,168.18916305,3392847128.088906,Bitcoin SV,168.18916305,BSV,756538625.8921832
169.36626073,2020-12-01T23:59:59.999Z,184.18011909,168.72731721,3147817253.99785,Bitcoin SV,182.5871583,BSV,772317897.8865325
171.03746612,2020-12-02T23:59:59.999Z,172.34758933,165.88311316,3179037318.625217,Bitcoin SV,169.37801722,BSV,516900109.7703329
170.82894707,2020-12-03T23:59:59.999Z,173.99792765,168.05792078,3175304688.179478,Bitcoin SV,171.08246451,BSV,435721247.0481522
177.54808772,2020-12-04T23:59:59.999Z,195.89488612,168.58240659,3300360688.288209,Bitcoin SV,170.83796363,BSV,1304860803.1937196
181.96660215,2020-12-05T23:59:59.999Z,184.65735687,173.82950024,3382670724.5224614,Bitcoin SV,177.57964954,BSV,792710253.8922096
178.55229355,2020-12-06T23:59:59.999Z,183.00226729,174.27604892,3319363315.5194955,Bitcoin SV,181.97563416,BSV,490738173.0828039
179.69573289,2020-12-07T23:59:59.999Z,187.34373097,176.12284674,3340782066.754292,Bitcoin SV,178.54707912,BSV,646595812.652039
173.3684144,2020-12-08T23:59:59.999Z,181.29967225,170.20901346,3223309187.6786547,Bitcoin SV,179.70559357,BSV,569515279.2072953
170.32228649,2020-12-09T23:59:59.999Z,173.46735262,161.73987942,3166820649.5006366,Bitcoin SV,173.34857222,BSV,532350697.81967694
166.40974158,2020-12-10T23:59:59.999Z,170.95721965,164.39111955,3094229248.9599743,Bitcoin SV,170.33543871,BSV,397472838.68757564
161.65416611,2020-12-11T23:59:59.999Z,166.68735184,159.65445664,3005926143.519504,Bitcoin SV,166.43742946,BSV,396994619.9245051
165.09475656,2020-12-12T23:59:59.999Z,166.39800787,161.28671954,3070046645.0101757,Bitcoin SV,161.62066303,BSV,328095197.1162152
168.59535928,2020-12-13T23:59:59.999Z,171.70233248,164.70201439,3135308111.698445,Bitcoin SV,165.11614604,BSV,355436393.3004353
1.00022437,2020-11-14T23:59:59.999Z,1.00034983,0.99946704,2805595743.4794054,USD Coin,1.00001239,USDC,449535541.3959669
1.00016798,2020-11-15T23:59:59.999Z,1.00028543,0.99980218,2813598347.1851482,USD Coin,1.00022437,USDC,283637646.1997988
